wc_match_id,date,home_team,away_team,ft_home,ft_away,result_90,price_of_result,ens_H,ens_D,ens_A
43,2026-06-15,Spain,Cape Verde,0,0,D,0.0605,0.9030349631825052,0.07348575747968245,0.023479279337812242
28,2026-06-20,Ecuador,Curaçao,0,0,D,0.095,0.8449252846132549,0.10735943050940272,0.0477152848773426
86,2026-07-03,Argentina,Cape Verde,1,1,D,0.105,0.8721512836099011,0.09595856052854058,0.031890155861558314
69,2026-06-23,England,Ghana,0,0,D,0.125,0.838173471783092,0.12051833072693885,0.04130819748996928
8,2026-06-13,Qatar,Switzerland,1,1,D,0.135,0.10557146650788596,0.15874853811488607,0.735679995377228
6,2026-06-24,South Africa,South Korea,1,0,H,0.165,0.17692573190836797,0.24215148449335794,0.5809227835982741
30,2026-06-25,Ecuador,Germany,2,1,H,0.1715,0.2994222225874199,0.2748673137595312,0.4257104636530488
20,2026-06-13,Australia,Turkey,2,0,H,0.175,0.28790033556893013,0.2719717319542655,0.4401279324768044
