strategy,bets,wins,hit_rate,avg_price,staked_usd,profit_usd,roi,profit_ci95_low,profit_ci95_high,max_drawdown_usd
"A. Ensemble pick, every match",104,63,0.6057692307692307,0.6033966346153845,15600.0,-290.59994551919397,-0.018628201635845765,-2878.8264734323675,2278.406847238592,-1296.724445584694
"A. Gradient boosting pick, every match",104,60,0.5769230769230769,0.5926274038461539,15600.0,-1105.0169140023952,-0.0708344175642561,-3685.7831196717952,1504.7267488354319,-2029.3284109323863
"A. Poisson goals pick, every match",104,63,0.6057692307692307,0.6050312499999999,15600.0,-290.59994551919397,-0.018628201635845765,-2878.8264734323675,2278.406847238592,-1296.724445584694
B. Ensemble pick when edge > 5%,25,13,0.52,0.43782000000000004,3750.0,246.4092822199863,0.06570914192532967,-1345.5616463209108,1893.6985491215576,-848.4891446852199
C. Largest-edge outcome when edge > 5%,65,16,0.24615384615384617,0.2538423076923077,9750.0,-3290.1049750508664,-0.3374466641077812,-6358.365367302898,225.87764745169338,-4824.333602061137
"D. Market favourite, every match (control)",104,66,0.6346153846153846,0.6165216346153847,15600.0,520.0845144541613,0.0333387509265488,-2029.4328174177226,3067.584009235882,-1105.5151913836037
