edge_bucket,bets,hit_rate,profit,roi
< -5 pts,42,0.7857142857142857,980.7933899098521,0.1556814904618813
-5 to 0,18,0.3888888888888889,-1084.156034948748,-0.40153927220324
0 to 5,19,0.5263157894736842,-433.64658270028445,-0.15215669568431034
5 to 10,10,0.8,1181.719960643763,0.787813307095842
> 10 pts,15,0.3333333333333333,-935.3106784237766,-0.4156936348550118
