model,accuracy,log_loss,brier,brier_group,accuracy_group,brier_knockout,accuracy_knockout
Gradient boosting,0.5769230769230769,0.902163622342515,0.5341577023817246,0.5387756474857449,0.5694444444444444,0.5237673258976787,0.59375
Poisson goals,0.6057692307692307,0.9153743776331414,0.538872322558087,0.5426354661439615,0.6111111111111112,0.530405249489869,0.59375
Ensemble,0.6057692307692307,0.9059530428162866,0.5353062205526214,0.5395423836761234,0.6111111111111112,0.525774853524742,0.59375
Polymarket,0.6346153846153846,0.8396795682089826,0.49532657533528085,0.4842699204234909,0.6666666666666666,0.5202040488868084,0.5625
Uniform (1/3 each),0.4423076923076923,1.0986122886681096,0.6666666666666667,0.6666666666666669,,0.6666666666666667,
