wc_match_id,date,stage,round,home_team,away_team,host_side,elo_home_pre,elo_away_pre,hgb_H,hgb_D,hgb_A,pois_H,pois_D,pois_A,ens_H,ens_D,ens_A,xg_home,xg_away,ft_home,ft_away,result_90,hgb_pick,pois_pick,ens_pick,px_A,px_D,px_H,overround,mkt_H,mkt_D,mkt_A,mkt_pick,hours_before_kickoff,volume_usd,n_price_points,kick_ts,match_no,edge_H,edge_D,edge_A,edge_pick,max_edge_outcome,max_edge
1,2026-06-11,Group,Group A,Mexico,South Africa,home,1975.5,1661.7,0.8118539350777386,0.14088896870680206,0.047257096215459274,0.8207550674810423,0.12775350707347757,0.05149142544548016,0.8163045012793905,0.13432123789013983,0.04937426083046972,2.573129488979093,0.4978067603082598,2,0,H,H,H,H,0.105,0.205,0.685,0.995,0.6884422110552765,0.20603015075376882,0.10552763819095477,H,6.998888888888889,15053443.620278258,322,1781204400,1,0.127862290224114,-0.07170891286362899,-0.056153377360485056,0.127862290224114,H,0.127862290224114
2,2026-06-11,Group,Group A,South Korea,Czech Republic,none,1879.4,1805.6,0.41256560037919754,0.29591330036210267,0.2915210992586998,0.47767061145891176,0.25446722033971053,0.2678621682013778,0.44511810591905465,0.2751902603509066,0.2796916337300388,1.5398412115235645,1.0861902200151814,2,1,H,H,H,H,0.315,0.315,0.375,1.005,0.373134328358209,0.31343283582089554,0.31343283582089554,H,1.9976851851851851,15558013.589003459,324,1781229600,2,0.07198377756084567,-0.03824257546998894,-0.03374120209085674,0.07198377756084567,H,0.07198377756084567
7,2026-06-12,Group,Group B,Canada,Bosnia and Herzegovina,home,1894.5,1652.3,0.725602357030694,0.17900153581503866,0.09539610715426734,0.757879690265602,0.16384794204786096,0.07827236768653703,0.741741023648148,0.17142473893144983,0.0868342374204022,2.256023550227257,0.5715394334740415,1,1,D,H,H,H,0.205,0.275,0.535,1.0150000000000001,0.5270935960591132,0.270935960591133,0.20197044334975367,H,6.998333333333332,18697246.415513434,319,1781290800,3,0.21464742758903477,-0.09951122165968318,-0.11513620592935148,0.21464742758903477,H,0.21464742758903477
19,2026-06-12,Group,Group D,United States,Paraguay,home,1824.0,1917.9,0.3604400535318974,0.2763502051307041,0.36320974133739853,0.3901013638794517,0.28223847290896803,0.3276601632115803,0.3752707087056746,0.279294339019836,0.3454349522744894,1.2183170603923932,1.0915974801494441,4,1,H,A,H,H,0.235,0.295,0.465,0.995,0.46733668341708545,0.2964824120603015,0.23618090452261306,H,0.9982407407407408,39314225.7708813,344,1781312400,4,-0.09206597471141087,-0.01718807304046549,0.10925404775187633,-0.09206597471141087,A,0.10925404775187633
8,2026-06-13,Group,Group B,Qatar,Switzerland,none,1564.5,1951.1,0.140986488779439,0.18181939439788108,0.6771941168226797,0.0701564442363329,0.13567768183189105,0.7941658739317762,0.10557146650788596,0.15874853811488607,0.735679995377228,0.6619508541232961,2.636103057621352,1,1,D,A,A,A,0.815,0.135,0.0595,1.0095,0.05894006934125804,0.1337295690936107,0.8073303615651312,A,6.996851851851852,15599199.601551002,327,1781377200,5,0.04663139716662792,0.025018969021275372,-0.07165036618790321,-0.07165036618790321,H,0.04663139716662792
13,2026-06-13,Group,Group C,Brazil,Morocco,none,2068.5,1984.7,0.415322726596736,0.2923493751825048,0.29232789822075916,0.48976909506288985,0.25226386252586336,0.25796704241124674,0.45254591082981294,0.27230661885418406,0.27514747031600295,1.5683250509686357,1.0654820511607745,1,1,D,H,H,H,0.165,0.255,0.575,0.995,0.5778894472361809,0.2562814070351759,0.1658291457286432,H,9.997037037037037,26089929.591100655,332,1781388000,6,-0.12534353640636792,0.016025211819008178,0.10931832458735974,-0.12534353640636792,A,0.10931832458735974
14,2026-06-13,Group,Group C,Haiti,Scotland,none,1696.0,1851.7,0.1997367771643318,0.25614496781305757,0.5441182550226107,0.22591480865386634,0.24123169655260318,0.5328534947935304,0.2128257929090991,0.24868833218283037,0.5384858749080705,1.0109080041420448,1.689838465173087,0,1,A,A,A,A,0.615,0.205,0.165,0.985,0.16751269035532995,0.2081218274111675,0.6243654822335025,A,0.9967592592592593,24714463.224676102,329,1781398800,7,0.045313102553769136,0.040566504771662876,-0.08587960732543198,-0.08587960732543198,H,0.045313102553769136
20,2026-06-13,Group,Group D,Australia,Turkey,none,1898.9,1973.8,0.2695327166286936,0.2840466523342084,0.44642063103709795,0.30626795450916666,0.2598968115743226,0.4338352339165108,0.28790033556893013,0.2719717319542655,0.4401279324768044,1.1723553275087566,1.4463294620032277,2,0,H,A,A,A,0.575,0.255,0.175,1.005,0.17412935323383086,0.2537313432835821,0.5721393034825871,A,3.9975,22064408.397174224,327,1781409600,8,0.11377098233509927,0.018240388670683394,-0.13201137100578275,-0.13201137100578275,H,0.11377098233509927
25,2026-06-14,Group,Group E,Germany,Curaçao,none,2000.1,1601.6,0.8090643865196206,0.13751297185381017,0.05342264162656921,0.830357906611898,0.116988254018592,0.05265383936951003,0.8197111465657594,0.1272506129362011,0.053038240498039624,2.7923210468055104,0.5813530838034691,7,1,H,H,H,H,0.0215,0.0405,0.9415,1.0035,0.9382162431489786,0.04035874439461883,0.02142501245640259,H,4.997592592592592,25533392.546123333,343,1781456400,9,-0.11850509658321917,0.08689186854158226,0.031613228041637034,-0.11850509658321917,D,0.08689186854158226
26,2026-06-14,Group,Group E,Ivory Coast,Ecuador,none,1814.0,2026.3,0.17902287048386525,0.26523234419700337,0.5557447853191315,0.17720778175824536,0.22055470899366522,0.6022375092480894,0.1781153261210553,0.2428935265953343,0.5789911472836105,0.9112749827285942,1.8843846507881288,1,0,H,A,A,A,0.375,0.335,0.295,1.005,0.2935323383084577,0.33333333333333337,0.373134328358209,A,10.997962962962964,16083533.820008995,347,1781478000,10,-0.11541701218740241,-0.09043980673799906,0.20585681892540147,0.20585681892540147,A,0.20585681892540147
31,2026-06-14,Group,Group F,Netherlands,Japan,none,2009.1,1992.7,0.3684433581194592,0.2841006325056401,0.3474560093749007,0.408978609249131,0.26279515875385767,0.3282262319970112,0.38871098368429513,0.2734478956297489,0.33784112068595595,1.38583329840662,1.2133002664279295,2,2,D,H,H,H,0.265,0.275,0.475,1.0150000000000001,0.4679802955665024,0.270935960591133,0.2610837438423645,H,7.998148148148148,28412937.439626627,328,1781467200,11,-0.07926931188220726,0.002511935038615909,0.07675737684359146,-0.07926931188220726,A,0.07675737684359146
32,2026-06-14,Group,Group F,Sweden,Tunisia,none,1775.0,1736.6,0.42209717598152297,0.27708932740526676,0.3008134966132104,0.4350965612426586,0.26049924662072416,0.3044041921366173,0.4285968686120908,0.26879428701299546,0.30260884437491387,1.4429994818749259,1.162871742973524,5,1,H,H,H,H,0.205,0.285,0.515,1.0050000000000001,0.5124378109452736,0.28358208955223874,0.20398009950248752,H,1.997777777777778,21842942.19842572,336,1781488800,12,-0.08384094233318284,-0.014787802539243278,0.09862874487242634,-0.08384094233318284,A,0.09862874487242634
37,2026-06-15,Group,Group G,Belgium,Egypt,none,1944.2,1809.3,0.5098760902965328,0.2689700893649674,0.22115382033849976,0.5516137182395343,0.23785757693746012,0.2105287048230054,0.5307449042680336,0.2534138331512138,0.2158412625807526,1.7221616079309983,0.9657578435158038,1,1,D,H,H,H,0.155,0.235,0.615,1.005,0.6119402985074628,0.2338308457711443,0.15422885572139305,H,6.998425925925925,35997260.1513378,341,1781550000,13,-0.08119539423942923,0.0195829873800695,0.061612406859359536,-0.08119539423942923,A,0.061612406859359536
